,name,compound,positive,negative,neutral
0,facebook,0.0795030612244898,0.0543877551020408,0.03411224489795919,0.9115408163265308
1,apple,0.11318564102564106,0.05761538461538461,0.03091794871794874,0.9114820512820516
2,tesla,0.11818191126279867,0.057989761092150184,0.030068259385665538,0.9085392491467577
3,google,0.14394096692111957,0.06277862595419847,0.029587786259542004,0.9050916030534347
4,palantir,0.15499958932238192,0.06492402464065708,0.02901437371663245,0.904010266940452
5,amc,0.17006064735945486,0.06869846678023848,0.029310051107325374,0.9002862010221466
6,amazon,0.20089299270072986,0.07773430656934305,0.029616058394160566,0.8911810218978098
7,netflix,0.22059718309859164,0.08250704225352111,0.02973751600512161,0.8864699103713185
8,at&t,0.20943344709897632,0.07940841865756541,0.029163822525597242,0.8902889647326506
9,nvidia,0.21576964102564128,0.08045025641025642,0.028763076923076905,0.8897569230769224
10,pfizer,0.2072364990689016,0.07761731843575419,0.02824953445065176,0.8931973929236487
11,moderna,0.19861844577284402,0.07453543979504694,0.02720751494449188,0.8973996584116131
12,nikola,0.19329337539432204,0.073391167192429,0.027424290220820196,0.8983927444794942
13,beyond meat,0.19183052090975802,0.07312472487160669,0.027673514306676434,0.8984644167278053
14,gamestop,0.19278459958932231,0.07316974674880213,0.027459958932238175,0.8986803559206008
15,starbucks,0.19427401676337822,0.0735351386202449,0.02755383623468729,0.8982598323662144
16,wells fargo,0.1983904209884073,0.07460158633312985,0.02743319097010371,0.8973496034167171
17,salesforce,0.20133874133949153,0.07488394919168583,0.026831986143187055,0.8977026558891453
18,microsoft,0.19588183807439788,0.07398632385120348,0.027292122538293218,0.8981695842450765
19,verizon,0.19315064867669907,0.07291074208614425,0.026944473274519973,0.8996237675142709
20,Carnival Cruise,0.1888590819348466,0.07243040473840082,0.02735982230997038,0.8997112537018757
21,Macys,0.19091839134524896,0.07291956726246475,0.027274223894637815,0.8993306679209782
22,Nordstrom,0.19830455159981947,0.07478233438485807,0.026714736367733208,0.8980473186119873
23,Teladoc,0.19563822894168423,0.07523066954643631,0.0276976241900648,0.8966341252699779
24,Norwegian Cruise,0.19334981351015293,0.07499336924989644,0.027971819312059668,0.8966133443845838
25,Peloton,0.19173082137161038,0.07515590111642749,0.028785885167464116,0.895652711323764
26,Lululemon,0.19454675374567765,0.07601075681905493,0.028888974260468693,0.8947091817134083
27,Wayfair,0.1957246748420656,0.07600706057227795,0.0286432552954292,0.8949713861018208
28,Chevron,0.19587474023647378,0.07622429236832676,0.028787531350770335,0.8946230741669653
29,Royal Caribbean Cruise,0.19486233137322678,0.07599308197855414,0.028705984088550667,0.8949467312348676
30,Softbank,0.19468184862692536,0.07579671801741464,0.028424983255190876,0.8954353650368395
31,AstraZeneca,0.189511932555123,0.07465337224383921,0.028497405966277537,0.8965165369649812
32,Johnson & Johnson,0.18763560176433514,0.07411216131064903,0.028429741650913633,0.8971345305608072
33,Twitter,0.1816379700397432,0.07343503515744419,0.029188015897279068,0.8967566493427095
34,Costco,0.18404115373178712,0.07367885816235503,0.029038358608385335,0.8966788581623557
35,Zillow,0.18490813078703713,0.07384027777777777,0.02911545138888885,0.896456886574075
36,Gilead,0.18246470256554848,0.07336904426275724,0.029225824640541263,0.8968333803213994
37,Boeing,0.17672896760021978,0.07246430532674349,0.02964964305326739,0.8973292147171898
38,Okta,0.17889660064239854,0.07286161670235544,0.02942773019271943,0.897166755888652
39,Nike,0.1785858670143419,0.07282607561929594,0.029529856584093805,0.8971131681877456
40,Home Depot,0.18045397553516856,0.07316590214067276,0.02948241590214061,0.8968325688073405
41,Shopify,0.18264615193026204,0.07368069738480694,0.029395018679950122,0.8964176836861775
42,Uber,0.1806304643812308,0.0735266229029905,0.02970726963287132,0.8962720641867253
43,Lyft,0.17923463368220793,0.07367126546146531,0.03010561370123685,0.8957402473834446
44,Doordash,0.17973515024458472,0.07373375262054514,0.030060330771022523,0.8957332867458655
45,Airbnb,0.17890152758777986,0.07360009119927045,0.03015435476516182,0.8957836297309619
46,PayPal,0.17830341746705444,0.07331337949519771,0.03002769711860616,0.8962070582979673
47,Snowflake,0.17625818739054366,0.0731265323992995,0.030311514886164567,0.8961197460595446
48,Quantumscape,0.17310769065981227,0.07301563838903176,0.03094365895458433,0.8956081833761788
49,Activision,0.16909355989091757,0.0728481225089155,0.031632683029158726,0.8950956576463185
50,DraftKings,0.16878816628936089,0.07273245523770325,0.03161658777526232,0.8952354393908213
51,Lordstown,0.16685873688458533,0.07257142857142856,0.03187227602905562,0.8951497175141245
52,Walgreens,0.16788768560681144,0.07275173233023162,0.031795090081171984,0.8950546426450223
53,Spotify,0.17042660710817722,0.0730052437366479,0.03149232860749654,0.8951108953194814
54,Fubotv,0.17091813678796058,0.07313907410935416,0.031642408077729015,0.8948352067060406
55,Northrop Grumman,0.17189883938599881,0.07333601647323101,0.03146424560089847,0.8948229127667553
56,Berkshire Hathaway,0.17236555596465492,0.07341863033873341,0.03142415316642113,0.8947866347569965
57,Cisco,0.16974865255923416,0.0732202930005426,0.03186290468439132,0.8945527220112147
58,Ebay,0.17309519914651605,0.0737528449502135,0.03166785206258884,0.8942208392603146
59,Qualcomm,0.1725599965047198,0.07363666550157301,0.031659384830478796,0.8943519748339751
60,Corning,0.17291879725086026,0.07351546391752592,0.03140824742268035,0.8947305841924413
61,Oracle,0.17348449966193488,0.07365517241379327,0.03146146044624741,0.894542596348886
62,Intel,0.1738999002493776,0.07376226101413147,0.03145353283458017,0.8944487115544484
63,Seagate,0.17630875757079784,0.07427369454902617,0.031484531019806805,0.8939114421345565
64,Nextera,0.17881986135740832,0.07476414638078362,0.031319039174592896,0.8935916492020004
65,Zscaler,0.17882190430774186,0.0750173263392149,0.03159052614846602,0.8930710538865066
66,Crowdstrike,0.1775327278421552,0.07499671155653008,0.03184215471343561,0.8928446601941771
67,Redfin,0.17324053678852502,0.07474070646305722,0.03255699521826308,0.8923905599259608
68,Roblox,0.17584140292148612,0.07502845404747417,0.032284996956786306,0.8923784236153388
69,Citigroup,0.17391787374419043,0.07468975858449549,0.032346828609986444,0.8926593192382671
70,Docusign,0.17441046099290855,0.0748190011820332,0.032322547281323825,0.8925589539007098
71,Amgen,0.17375000000000076,0.07472223841445655,0.03238822500728645,0.8925941416496659
72,Regeneron,0.17329288384128871,0.07466115583668788,0.03243372627947092,0.8926140023001734
73,Medtronic,0.17358368099900714,0.074509436639705,0.032166170001419,0.893036753228325
74,Microsoft,0.1725601987960244,0.07428475430491405,0.032212235755284854,0.8932189556208884
75,ArcelorMittal,0.1777082182320453,0.0750122928176802,0.031907872928176755,0.8927994475138136
76,Mattel,0.1796310641200557,0.07532237380627631,0.03177189631650747,0.8926286493860855
77,Schlumberger,0.17881007543103541,0.0750299030172421,0.031685479525862044,0.8930110452586214
78,Ford,0.17755048543689417,0.07466657800239465,0.031646229551802074,0.8934162787604742
79,Intuit,0.17828914871256002,0.07459800315291717,0.03142327903310559,0.8937112454019979
80,Pepsi,0.17823351063829845,0.07462558380903031,0.03140866632070575,0.8937012195121958
81,Stryker,0.17825060858424152,0.07455656630365227,0.03131479820627801,0.8938672645739912
82,Walmart,0.17921040374636182,0.07454258954562784,0.031132894570307542,0.8940663207188966
83,Hasbro,0.17989060738885482,0.07464708829054548,0.031140388227927345,0.893956793988729
84,Novartis,0.17814449121069642,0.074418296608072,0.03130985392423864,0.8940193117108202
85,Toyota,0.17707453522504968,0.07407436399217292,0.031295865949119345,0.8943801369863027
86,Mastercard,0.17724207663483696,0.07401958177203019,0.031205850356581615,0.8945276199685736
87,Fortinet,0.1789700991518343,0.07456779357305046,0.031158165093776096,0.8940298650101552
88,Groupon,0.18097380671077568,0.07484924385633329,0.031022093572778804,0.8938872873345944
89,Autodesk,0.18174758677106528,0.07489762767325055,0.030837443029098948,0.8940260605352349
90,ServiceNow,0.18299889030169994,0.0750707432666749,0.03068512310715521,0.8940083227372563
91,Fireeye,0.1806740338440436,0.07504516350331633,0.03114943974388289,0.8935720329293401
92,Proofpoint,0.17861183391786467,0.07503575065052656,0.031661952709582546,0.8930709356262028
93,Qualys,0.17684930019034878,0.07506035158436956,0.03213201209271081,0.8924663531519431
94,Fastly,0.1772963430851069,0.075242907801419,0.03210649379432627,0.8923130540780148
